 FILE   DATE  TIME    ZA    RELAZ    SOLDEP  INT   ISC  RMIN  RMED  RMAX
T39F32  50983  224   26.16  -42.40   20.60  15.0  13.3   3.0   2.1   2.0
T39F31  50983  203   26.81  -32.18   22.87  13.2  11.9   2.9   2.0   1.8
T39F29  50983  129   25.36  -18.35   25.94  12.7  10.9   3.1   2.0   1.8
T39F28  50983  113   25.80  -10.96   27.11  12.8  11.2   3.3   2.1   1.9
T39F27  50983   57   24.55   -4.69   28.08  12.1  10.7   3.4   2.1   1.9
T39F26  50983   40   25.32    3.44   28.88  11.0   9.8   3.2   2.0   1.7
T39F18  50883  235   20.18  -32.14   19.55  15.5  13.5   3.2   2.2   2.0
T39F17  50883  216   20.96  -22.26   21.74  13.4  11.8   3.0   2.0   1.8
T39F16  50883  157   22.28   -6.80   23.72  13.0  11.2   3.0   2.0   1.8
T39F15  50883  131   23.82    0.01   26.04  12.3  10.6   3.1   2.0   1.8
T37F29  11783 2239   18.29 -109.09   61.03   3.4   3.0   3.9   2.1   1.4
T37F28  11783 2221   15.73 -110.87   58.51   2.6   2.3   2.8   1.5   1.0
T37F27  11783 2213   17.06 -118.63   57.32   3.0   2.7   3.1   1.7   1.1
T37F26  11783 2205   18.78 -125.51   56.09   3.1   2.8   3.0   1.6   1.1
T37F25  11783 2129   20.63 -139.42   50.19   5.5   4.9   4.2   2.2   1.6
T37F24  11783 2112   18.33 -144.86   47.26   3.6   3.2   2.5   1.3   1.0
T37F23  11783 2055   22.37 -149.81   44.26   6.8   6.1   3.9   2.2   1.7
T48F44 103084   36   30.76  -84.91   58.57   2.7   2.3   2.2   1.2   0.8
T47F46  92184   11    8.38   -5.79   46.17   5.8   5.2   4.3   2.4   1.7
T47F45  92084 2356   10.29   30.35   46.39   4.4   4.0   3.2   1.8   1.3
T47F41  92084 2245   14.87    9.30   44.00   5.7   5.1   3.6   2.0   1.5
T47F40  92084 2233   14.46   19.46   43.07   7.4   6.7   4.5   2.5   1.9
T47F35  92084 2112   10.23   70.12   33.79   8.0   7.2   3.3   2.0   1.6
T47F25  91984 2151    9.70   28.44   38.45   6.8   5.8   3.4   1.9   1.5
T47F24  91984 2140    9.48   41.51   37.13   7.8   6.7   3.6   2.1   1.7
T47F15  83184  150   22.97  140.85   32.48   7.8   6.6   2.5   1.5   1.3
T47F14  83184  132   27.86  151.90   34.17   7.0   5.9   2.2   1.4   1.2
T47F09  83084 2338   23.69 -172.63   38.28   6.3   5.3   2.6   1.5   1.2
